constituency_id,year,Private_renters,Social_renters,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,White,Asian,Black,Mixed,con_pre_ge_adjusted,lab_pre_ge_adjusted,lib_pre_ge_adjusted,oth_pre_ge_adjusted,con_share_prev,mean_con_share_ge,lab_share_prev,mean_lab_share_ge,lib_share_prev,mean_lib_share_ge,oth_share_prev,mean_oth_share_ge,party,votes
E14000989,2019,0.2154948729243193,0.2046619257087192,0.1399,0.12,0.1236999999999999,0.1404,0.1293,0.1338,0.1025,0.0745,0.9003278807999999,0.039706831,0.028183341,0.0248212716,0.5078657310899345,0.3845392534077882,0.035981020999912176,0.02127004992378581,0.487,0.4132923076923077,0.471,0.4066476923076923,0.021,0.070036923076923,0.02,0.1100138461538461,lab_votes,14605.0
E14000989,2024,0.2485569778824215,0.1934137030037336,0.1354,0.135,0.1152,0.1284,0.1228,0.1348,0.105,0.092,0.8787108238,0.043911376,0.0391923335,0.0287073351,,,,,0.597,0.4274707692307692,0.341,0.32828,0.062,0.1084323076923076,0.0,0.1358107692307692,lab_votes,
E14000990,2010,0.1215923054487123,0.1082853081471605,0.1042999999999999,0.1137999999999999,0.1034999999999999,0.1176,0.1571999999999999,0.1343999999999999,0.1289,0.0826,0.9723986131,0.0135077614,0.0033115154,0.0093614324999999,0.570859093319194,0.1554588387041297,0.34263198074727913,0.027096591874893744,0.491,0.3079183673469388,0.202,0.3651255886970173,0.274,0.215916797488226,0.033,0.1108257456828885,lab_votes,6253.0
E14000990,2015,0.1320365472497736,0.1126674984151327,0.1153,0.1048,0.1009999999999999,0.1147,0.1412,0.1431,0.1266,0.0938,0.9597951576,0.0185228094,0.0049433534,0.0135559599999999,0.45792672092114156,0.12885459624850337,0.1451625035044413,0.10601750547045949,0.472,0.3463261538461538,0.116,0.30068,0.355,0.2249892307692307,0.057,0.12796,lab_votes,8204.0
E14000990,2017,0.1362142439701981,0.1144203745223216,0.1183,0.1031,0.099,0.1193999999999999,0.1311999999999999,0.1469,0.1215,0.1,0.9547537754,0.0205288286,0.0055960886,0.015233771,0.6562423083068128,0.17344203182566434,0.13992342287589657,0.08391240822809747,0.545,0.3562784615384615,0.148,0.3140184615384615,0.138,0.0759415384615384,0.169,0.2537646153846153,lab_votes,12874.0
E14000990,2019,0.1403919406906226,0.1161732506295105,0.1193,0.1033,0.0969,0.1246,0.1242,0.1467,0.12,0.1036,0.9497123932,0.0225348478,0.0062488238,0.016911582,0.6257072662298987,0.17798207482568545,0.231306563570864,0.04998461732089665,0.6,0.4132923076923077,0.218,0.4066476923076923,0.135,0.070036923076923,0.047,0.1100138461538461,lab_votes,9310.0
E14000990,2024,0.1508361824916838,0.1205554408974827,0.1128,0.1217999999999999,0.0824,0.1266,0.1331999999999999,0.1332000000000001,0.115,0.1056,0.9371089377,0.0275498958,0.0078806618,0.0211061094999999,,,,,0.584,0.4274707692307692,0.152,0.32828,0.218,0.1084323076923076,0.046,0.1358107692307692,lab_votes,
E14000991,2010,0.1492042721096891,0.1521001730289786,0.0986999999999999,0.1165,0.0831999999999999,0.1007999999999999,0.1544,0.145,0.1442999999999999,0.0889,0.9801717479,0.0090368430999999,0.002358356,0.0076132868,0.5731843849416755,0.1377580798417783,0.3601387242891108,0.03366546263244374,0.493,0.3079183673469388,0.179,0.3651255886970173,0.288,0.215916797488226,0.041,0.1108257456828885,lab_votes,5886.0
E14000991,2015,0.1590898000172102,0.1522516881228587,0.0994999999999999,0.1092,0.0892,0.0906,0.1434,0.1503999999999999,0.1437,0.1041,0.9732552484,0.0104909126,0.003191256,0.0109683278,0.5141973773055192,0.11885725688439533,0.12103690433046373,0.124617067833698,0.53,0.3463261538461538,0.107,0.30068,0.296,0.2249892307692307,0.067,0.12796,lab_votes,5240.0
E14000991,2017,0.1630440111802186,0.1523122941604107,0.0994999999999999,0.1071,0.0877999999999999,0.0923,0.1334,0.1562,0.1402,0.1134,0.9704886486,0.0110725404,0.003524416,0.0123103442,0.680324594850182,0.10781531708081837,0.18859243952838234,0.07745760759516689,0.565,0.3562784615384615,0.092,0.3140184615384615,0.186,0.0759415384615384,0.156,0.2537646153846153,lab_votes,10702.0
